position,title,phone,website_link,displayed_link,ad_link,tracking_link,snippet,sitelinks_title_1,sitelinks_title_2,sitelinks_title_3,sitelinks_title_4,sitelinks_link_1,sitelinks_link_2,sitelinks_link_3,sitelinks_link_4,data_scrap,keyword,location
1,Dubai Luxury Property Show - Prices From £145k,,https://www.dubailuxurypropertyshow.co.uk/,https://www.dubailuxurypropertyshow.co.uk/london,https://www.dubailuxurypropertyshow.co.uk/london-ppc/,https://www.google.com/aclk?sa=l&ai=DChcSEwiKj62Hzdr8AhXYhNUKHbx4BgkYABADGgJ3cw&sig=AOD64_0_SpeYHTejSjn0PcnKWKTHJL4N-g&q&adurl,The Dubai Luxury Property Show Is Back For 2023. Discover The Best Area To Invest In Dubai. Brand New Project Launches At The World's Largest Showcase...,,,,,,,,,2023-01-22,buy apartment dubai,
2,Apartments for sale in Dubai. - Aston Martin interiors.,,https://prelaunch.danubeproperties.ae/,https://prelaunch.danubeproperties.ae/viewzbydanube/aston_martin,https://prelaunch.danubeproperties.ae/?UTM=WHATSAPP,https://www.google.com/aclk?sa=l&ai=DChcSEwiKj62Hzdr8AhXYhNUKHbx4BgkYABACGgJ3cw&sig=AOD64_0HftPMZ2n5lP-mOWbxMubvNTJlBg&q&adurl,Danube Properties brings to you Dubai’s first iconic towers with Aston Martin interiors. Witness panoramic views of Dubai skyline from your Sky Villas with a private pool.,2BHK Apartment,Contact Us,,,https://danubeproperties.ae/projects/elitz-by-danube/?UTM=Googleads,https://danubeproperties.ae/?UTM=GoogleadsViewz,,,2023-01-22,buy apartment dubai,
3,Apartments For Sale in Dubai - 5-Year Payment Plan,,https://www.sobha-hartland-dubai.ae/,https://www.sobha-hartland-dubai.ae/,https://www.sobha-hartland-dubai.ae/#modal-prices,https://www.google.com/aclk?sa=l&ai=DChcSEwiKj62Hzdr8AhXYhNUKHbx4BgkYABABGgJ3cw&sig=AOD64_2vQpyARGL3Pf9OnFAZJ4TcBjVnpw&q&adurl,Own a 1-3 bed apartment with beach access & water lagoon opposite Downtown Dubai. New launch. 1-3 bedroom apartments with beach access in Sobha...,Available Units & Prices,Floor Plans,View Gallery,Inquire Now,https://www.sobha-hartland-dubai.ae/#modal-prices,https://www.sobha-hartland-dubai.ae/#modal-floorplans,https://www.sobha-hartland-dubai.ae/#modal-gallery,https://www.sobha-hartland-dubai.ae/#modal-inquire,2023-01-22,buy apartment dubai,
4,"Apartments For Sale In Dubai - Apartments From GBP 260,000",,https://www.sobharealty.com/,https://www.sobharealty.com/sobha/apartments,https://www.sobharealty.com/uk/offers/sobha-one/,https://www.google.com/aclk?sa=l&ai=DChcSEwiKj62Hzdr8AhXYhNUKHbx4BgkYABAAGgJ3cw&sig=AOD64_2-h3tEwr7o8Mnm3QBLsVLhQP6gQg&q&adurl,"A Stunning Collection of Spacious Residences In the Heart of Dubai, Starting GBP 260,000. Luxury Freehold Properties Starting GBP 260,000. Exclusive Offers. Enquire Now.",Luxury Apartments,1 Bed Apartments Dubai,,,https://www.sobharealty.com/uk/offers/sobha-one/,https://www.sobharealty.com/uk/offers/creek-vista-district/,,,2023-01-22,buy apartment dubai,
5,Luxury Tower in Dubai Marina - One BHK Homes from AED 1.37M,,https://marina-living.ae/,https://www.marina-living.ae/,https://marina-living.ae/,https://www.google.com/aclk?sa=l&ai=DChcSEwiKj62Hzdr8AhXYhNUKHbx4BgkYABAEGgJ3cw&sig=AOD64_19JI-bmEDuciviK88ZFMbC87guUA&q&adurl,Introducing the opportunity to buy an apartment in a tower on the last plot in Marina. Prices from AED1.37M. 3 Yrs interest-free payment plan. Book a virtual call. We are online. ,,,,,,,,,2023-01-22,buy apartment dubai,
1,Dubai Luxury Property Show - Prices From £145k,,https://www.dubailuxurypropertyshow.co.uk/,https://www.dubailuxurypropertyshow.co.uk/london,https://www.dubailuxurypropertyshow.co.uk/london-ppc/,https://www.google.com/aclk?sa=l&ai=DChcSEwia8KyNzdr8AhWGj2gJHeMBDS4YABAEGgJ3Zg&sig=AOD64_0j2K9kByZronZRoX-hvsUX2eXWxg&q&adurl,The Dubai Luxury Property Show Is Back For 2023. Discover The Best Area To Invest In Dubai. Brand New Project Launches At The World's Largest Showcase Of Luxury Dubai Properties. Award Winning Developers. Prices Below Market Value.,,,,,,,,,2023-01-22,buy apartment dubai,
2,Property For Sale In Dubai - Find Your Dream Property,,https://emirates.estate/,https://www.emirates.estate/,https://emirates.estate/property/dubai-emirate/,https://www.google.com/aclk?sa=l&ai=DChcSEwia8KyNzdr8AhWGj2gJHeMBDS4YABADGgJ3Zg&sig=AOD64_1Yk-zPpilM7tGt7kAVyVQI3SNeJQ&q&adurl,"Buy Property In Dubai And Get Residency. Subscribe To Newsletter. Property audit. Professional advice. After-sales services. Exclusive property offers. No taxes. Privacy policy. Destinations: Abu Dhabi, Dubai, Ras Al Khaimah, Umm Al Quwain, Sharjah, Ajman, Fujairah.",Apartments,Penthouses,Villas and houses,New development projects,https://emirates.estate/apartments/,https://emirates.estate/penthouses/,https://emirates.estate/villas/,https://emirates.estate/new-developments/,2023-01-22,buy apartment dubai,
3,Apartments For Sale in Dubai - 5-Year Payment Plan,,https://www.sobha-hartland-dubai.ae/,https://www.sobha-hartland-dubai.ae/,https://www.sobha-hartland-dubai.ae/#modal-prices,https://www.google.com/aclk?sa=l&ai=DChcSEwia8KyNzdr8AhWGj2gJHeMBDS4YABABGgJ3Zg&sig=AOD64_1yNM7fgDes5EbMn_cbxqTwgj6POw&q&adurl,Own a 1-3 bed apartment with beach access & water lagoon opposite Downtown Dubai. New launch. 1-3 bedroom apartments with beach access in Sobha...,Available Units & Prices,Floor Plans,View Gallery,Inquire Now,https://www.sobha-hartland-dubai.ae/#modal-prices,https://www.sobha-hartland-dubai.ae/#modal-floorplans,https://www.sobha-hartland-dubai.ae/#modal-gallery,https://www.sobha-hartland-dubai.ae/#modal-inquire,2023-01-22,buy apartment dubai,
4,"Prices Starting From £110,000 - Dubai Property For Sale",,https://www.trackcapital.co.uk/,https://www.trackcapital.co.uk/property/dubai,https://www.trackcapital.co.uk/portfolio/considering-buying-a-property-in-dubai/,https://www.google.com/aclk?sa=l&ai=DChcSEwia8KyNzdr8AhWGj2gJHeMBDS4YABAAGgJ3Zg&sig=AOD64_0dFCxLJw9PADgExKom3qm6KyMCaQ&q&adurl,"Invest In Dubai Property With Our Help. No Admin Fees, Completely Free Service. Download...",,,,,,,,,2023-01-22,buy apartment dubai,
5,Luxury Tower in Dubai Marina - One BHK Homes from AED 1.37M,,https://marina-living.ae/,https://www.marina-living.ae/,https://marina-living.ae/,https://www.google.com/aclk?sa=l&ai=DChcSEwia8KyNzdr8AhWGj2gJHeMBDS4YABACGgJ3Zg&sig=AOD64_2bGBFlAPNtP5ubgXKxivw0Ryurgg&q&adurl,Introducing the opportunity to buy an apartment in a tower on the last plot in Marina. Prices from AED1.37M. 3 Yrs interest-free payment plan. Book a virtual call. We are online. ,,,,,,,,,2023-01-22,buy apartment dubai,
